CREATE TABLE magazyn (
    id_produktu INTEGER PRIMARY KEY,
    ilosc INTEGER NOT NULL CHECK (ilosc >= 0),
    
    CONSTRAINT fk_produkt
        FOREIGN KEY (id_produktu)
        REFERENCES produkty(id_produktu)
        ON DELETE CASCADE
);

INSERT INTO magazyn (id_produktu, ilosc) VALUES
(1, 45),
(2, 88),
(3, 12),
(4, 30),
(5, 95),
(6, 5),
(7, 62),
(8, 140),
(9, 22),
(10, 77),
(11, 40),
(12, 18),
(13, 85),
(14, 110),
(15, 3),
(16, 50),
(17, 92),
(18, 28),
(19, 66),
(20, 130),
(21, 10),
(22, 70),
(23, 42),
(24, 80),
(25, 15),
(26, 55),
(27, 100),
(28, 35),
(29, 90),
(30, 20),
(31, 60),
(32, 120),
(33, 48),
(34, 72),
(35, 98),
(36, 25),
(37, 82),
(38, 115),
(39, 7),
(40, 58),
(41, 105),
(42, 32),
(43, 78),
(44, 145),
(45, 19),
(46, 68),
(47, 9),
(48, 52),
(49, 125),
(50, 38),
(51, 85),
(52, 21),
(53, 75),
(54, 112),
(55, 4),
(56, 63),
(57, 90),
(58, 29),
(59, 135),
(60, 50),
(61, 88),
(62, 20),
(63, 70),
(64, 100),
(65, 45),
(66, 80),
(67, 12),
(68, 55),
(69, 110),
(70, 30),
(71, 78),
(72, 95),
(73, 22),
(74, 65),
(75, 140),
(76, 5),
(77, 60),
(78, 92),
(79, 28),
(80, 72),
(81, 120),
(82, 38),
(83, 85),
(84, 15),
(85, 50),
(86, 105),
(87, 42),
(88, 70),
(89, 98),
(90, 25),
(91, 62),
(92, 130),
(93, 8),
(94, 55),
(95, 100),
(96, 35),
(97, 80),
(98, 18),
(99, 60),
(100, 115),
(101, 40),
(102, 75),
(103, 90),
(104, 20),
(105, 68),
(106, 10),
(107, 52),
(108, 125),
(109, 30),
(110, 82),
(111, 22),
(112, 70),
(113, 95),
(114, 48),
(115, 88),
(116, 14),
(117, 60),
(118, 105),
(119, 32),
(120, 78),
(121, 150),
(122, 0),
(123, 58),
(124, 92),
(125, 25),
(126, 70),
(127, 100),
(128, 40),
(129, 85),
(130, 12),
(131, 65),
(132, 110),
(133, 30),
(134, 75),
(135, 90),
(136, 20),
(137, 60),
(138, 130),
(139, 45),
(140, 80),
(141, 10),
(142, 55),
(143, 120),
(144, 35),
(145, 72),
(146, 98),
(147, 28);
